Rank,Location,Population,Changes,Area,Population density
—,World,"6,843,522,711",,,
1,China,"1,339,724,852",,"9,596,961",140
2,India,"1,182,105,564",,"3,287,263",360
3,United States,"309,349,689",,"9,833,520",31
4,Indonesia,"237,641,326",,"1,904,569",125
5,Brazil,"193,252,604",,"8,515,767",23
6,Pakistan,"173,510,000",,"881,913",197
7,Nigeria,"158,258,917",2,"923,768",171
8,Bangladesh,"148,600,000",,"147,570",1007
9,Russia,"142,849,472",2,"17,075,200",8
10,Japan,"128,056,000",,"377,972",339
11,Mexico,"112,336,538",,"1,972,550",57
12,Philippines,"92,337,852",,"343,448",269
13,Vietnam,"86,932,500",1,"331,230.8",262
14,Ethiopia,"83,483,000",1,"1,104,300",76
15,Germany,"81,802,257",1,"357,168",229
16,Egypt,"78,728,000",,"1,010,408",78
17,Iran,"74,733,230",1,"1,648,195",45
18,Turkey,"73,722,988",1,"783,356",94
19,Democratic Republic of the Congo,"67,827,496",4,"2,345,409",29
20,Thailand,"63,878,267",,"513,120",124
21,France,"62,791,013",2,"640,679",98
22,United Kingdom,"62,026,962",1,"242,495",256
23,Italy,"60,340,328",1,"301,338",200
24,Myanmar,"59,780,000",,"676,578",198
25,South Africa,"49,991,300",1,"1,221,037",41
26,South Korea,"49,410,366",1,"100,210",493
27,Spain,"45,989,016",2,"505,990",91
28,Ukraine,"45,782,592",1,"603,628",76
29,Colombia,"45,508,205",1,"1,141,748",40
30,Tanzania,"43,187,823",2,"947,303",46
31,Sudan,"42,338,426",2,"1,886,068",22
32,Kenya,"40,862,900",2,"580,367",70
33,Argentina,"40,518,951",3,"2,780,400",15
34,Poland,"38,167,329",3,"312,679",122
35,Algeria,"35,978,000",,"2,381,741",15
36,Canada,"34,108,752",,"9,984,670",3
37,Iraq,"32,481,000",3,"437,072",74
38,Morocco,"31,894,000",1,"710,850",45
39,Uganda,"31,784,600",,"241,038",132
40,Peru,"29,461,933",1,"1,285,216",0
41,Venezuela,"28,833,845",2,"716,445",0
42,Malaysia,"28,334,135",3,"330,803",0
43,Nepal,"28,043,744",1,"147,181",0
44,Uzbekistan,"28,001,400",,"448,978",0
45,Saudi Arabia,"27,136,977",1,"2,149,690",0
46,Afghanistan,"24,485,600",8,"652,864",0
47,North Korea,"24,325,701",,"120,540",0
48,Ghana,"24,223,431",1,"239,567",0
49,Taiwan,"23,162,120",1,"36,197",0
50,Yemen,"23,153,982",1,"527,968",0
51,Mozambique,"22,416,881",4,"801,590",0
52,Australia,"22,299,800",1,"7,692,024",0
53,Cote d'Ivoire,"21,570,746",4,"322,463",0
54,Romania,"21,462,186",4,"238,397",0
55,Sri Lanka,"20,653,000",3,"65,610",0
56,Syria,"20,619,000",2,"185,180",0
57,Madagascar,"20,146,442",1,"587,041",0
58,Cameroon,"19,958,352",,"475,442",0
59,Angola,"18,992,708",2,"1,246,700",0
60,Chile,"17,094,270",,"756,096",0
61,Netherlands,"16,574,989",2,"41,543",0
62,Kazakhstan,"16,442,000",,"2,724,900",0
63,Burkina Faso,"15,730,977",4,"274,200",0
64,Mali,"15,370,000",1,"1,240,192",0
65,Niger,"15,203,822",1,"1,267,000",0
66,Ecuador,"14,483,499",,"283,561",0
67,Guatemala,"14,361,666",2,"108,889",0
68,Cambodia,"14,302,779",5,"181,035",0
69,Malawi,"13,947,592",1,"118,484",0
70,Zambia,"13,257,269",1,"752,618",0
71,Zimbabwe,"12,644,041",3,"390,757",0
72,Senegal,"12,509,434",,"196,712",0
73,Chad,"11,714,904",8,"1,284,000",0
74,Greece,"11,305,118",,"131,957",0
75,Cuba,"11,241,161",2,"109,884",0
76,Belgium,"10,839,905",1,"30,528",0
77,Portugal,"10,637,713",1,"92,212",0
78,Tunisia,"10,547,100",,"163,610",0
79,Czechia,"10,506,813",2,"78,866",0
80,Bolivia,"10,426,154",4,"1,098,581",0
81,Rwanda,"10,412,820",5,"26,338",0
82,Guinea,"10,323,755",1,"245,836",0
83,Hungary,"10,014,324",4,"93,030",0
84,Dominican Republic,"9,884,371",3,"48,315",0
85,Haiti,"9,855,000",3,"27,750",0
86,Belarus,"9,480,178",4,"207,595",0
87,Somalia,"9,358,602",4,"637,657",0
88,Sweden,"9,340,682",3,"450,295",0
89,Benin,"9,211,741",,"114,763",0
90,Azerbaijan,"8,997,586",,"86,600",0
91,Burundi,"8,518,862",3,"27,834",0
92,Austria,"8,375,290",,"83,879",0
93,United Arab Emirates,"8,264,070",24,"83,600",0
94,Honduras,"8,045,990",2,"112,492",0
95,Switzerland,"7,785,806",,"41,285",0
96,Israel,"7,623,600",3,"22,072",0
97,Tajikistan,"7,616,400",3,"143,100",0
98,Bulgaria,"7,563,710",5,"110,993.6",0
99,Serbia,"7,291,436",19,"77,474",0
100,Hong Kong,"7,024,200",3,"2,755",0
101,Papua New Guinea,"6,744,955",3,"462,840",0
102,Libya,"6,545,619",3,"1,759,541",0
103,Paraguay,"6,459,727",2,"406,752",0
104,Laos,"6,230,200",1,"237,955",0
105,El Salvador,"6,194,126",7,"21,041",0
106,Togo,"6,191,155",4,"56,785",0
107,Jordan,"6,113,000",1,"89,341",0
108,Sierra Leone,"5,835,664",,"71,740",0
109,Nicaragua,"5,822,265",,"130,375",0
